nama_usaha,alamat_usaha,rt,rw,wilayah,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas_kamar
Patra Jasa Jakarta Hotel,Jl. Jend.  Ahmad Yani No. 2,3,4,Jakarta Pusat,Agus Santoso,PT. Patra Jasa,021 4240608,021 3100432,Hotel Bintang,52/B3
Pecenongan City,Jl. Ceylon No. 19,,,Jakarta Pusat,Etty Latifah Aljufri,PT. Pecenongan City Hotel,021 3853583,021 3855757,Hotel Bintang,84/B1
Pramuka Hotel,Jl. Pramuka Raya No. 149,14,7,Jakarta Pusat,"Jan Semesta, MBA",PT. Menteng Sarana Wisata,021 4212108,021 4212108,Hotel Bintang,134/B
Prima Indah,Jl. Gunung Sahari Raya No. 19/21,,,Jakarta Pusat,"Drs. Fachrurrazi, SH",PT. Anugerah Sentosa Prima,021 6591078,021 6246348,Hotel Bintang,98/B
Prima Indah II,Jl. Mangga Besar Raya No. 144,,,Jakarta Pusat,"Drs. Fachrurrazi, SH",PT. Anugerah Sentosa Prima,,,Hotel Bintang,81/B
Pullman Jakarta Indonesia,Jl. MH. Thamrin No. 59,,,Jakarta Pusat,"Angela Meilany Basireon, SH",PT. Wisma Nusantara Internasional,021 31923650,021 3143631,Hotel Bintang,400/B5
Puri Mega,Jl. Rawamangun No. 59,,,Jakarta Pusat,Bambang Siswanto,PT. Setralcipta Propertindo,021 4214744,021 4246562,Hotel Bintang,125/B1
Redtop,Jl. Pecenongan No. 72,,,Jakarta Pusat,Winda Trihanny,PT. Sanggraha Dhika,021 3500077,021 3500055,Hotel Bintang,390/B4
Rota International,Jl. KH. Wahid Hasyim No. 63,,,Jakarta Pusat,Herlambang Adhiyatma,PT. Rota International Hotel,021 3152858,021 3234653,Hotel Bintang,54/B2
Royal,Jl. Ir. H. Juanda No. 14,,,Jakarta Pusat,Naif Abdullah,PT. Royal Hotel,021 3804301,021 3804300,Hotel Bintang,61/B2
Sahid Jaya International,Jl. Jend. Sudirman No. 89,,,Jakarta Pusat,,PT. Sahid Jaya International,021 5704444,021 3733168,Hotel Bintang,676/B5
Salemba Indah,"Jl. Paseban 20-AB, Kramat",,,Jakarta Pusat,,,021 3103503,021 3103564,Hotel Bintang,130/B1
Savvoya Menteng Hotel,"Menteng Square Tower C, Jl. Matraman Raya",,,Jakarta Pusat,Paramita Putri Diyanti,PT. Bahama Triple Eleven,,,Hotel Bintang,95/B3
Senen Indah,Jl. Bungur Besar No. 157,,,Jakarta Pusat,,,021 42874444,021 4206872,Hotel Bintang,30/B1
Shangri-La,"Jl. Jend. Sudirman Kav. I, Karet Tengsin",,,Jakarta Pusat,Yussuf,PT. Swadharma Kerry Satya,021 5707440,021 5703530,Hotel Bintang,661/B5
Sriwijaya,Jl. Veteran No. 1,,,Jakarta Pusat,Haykel Aldjufrie,PT. Graha Sriwijaya,021 3440409,021 3446543,Hotel Bintang,129/B2
Surya,Jl. Batu Ceper No. 44-46,,,Jakarta Pusat,Tuty Suryani Budiman,CV. Hotel Surya,021 3808442,021 3861878,Hotel Bintang,70/B2
Surya Baru,Jl. Batu Ceper No. 11 A,,,Jakarta Pusat,Tuty Suryani Budiman,PT. Wisataria Surya Kencana,021 3811108,021 3861878,Hotel Bintang,98/B2
Swiss-Bel Hotel Mangga Besar,Jl. Kartini Raya No. 57,3,2,Jakarta Pusat,Thoe Bun San,PT. Grand Swiss International,021 6393888,021 30027200,Hotel Bintang,246/B
The Acacia Jakarta,Jl. Kramat Raya No. 73-81,,,Jakarta Pusat,Hendro Sumampow,PT. Guntur Madu Tama,021 3903030,021 3903030,Hotel Bintang,206/B4
The Akmani Suite Hotel,Jl. KH. Wahid Hasyim No. 91,,,Jakarta Pusat,Juslina Djaja,PT. Akmanindo Parma,021 31905335,021 31900079,Hotel Bintang,100/B
The Media Hotel & Towers,Jl. Gunung Sahari Raya No. 3,,,Jakarta Pusat,Nasrul Darisin,PT. Grahasahari Suryajaya,021 6263001,021 6263011,Hotel Bintang,350/B5
The Sultan Hotel,Jl. Jend. Gatot Subroto,,,Jakarta Pusat,Drs. Subijanto,PT. Indobuildco,021 5703600,021 5733091,Hotel Bintang,649/B5
Travellers Hotel Jakarta,Jl. Pangeran Jayakarta No. 70,,,Jakarta Pusat,Subakir,PT. Bait Damai Abadi,021 6019864,021 6019876,Hotel Bintang,94/B4
Treva  International,Jl. Menteng Raya No. 33,,,Jakarta Pusat,"Dr. H. Muslim, SH., MBA",PT. Gharmapala Putra Utama,021 31900240,021 31900241,Hotel Bintang,174/B3
Triniti Jakarta,Jl. Pembangunan III No. 4-6,,,Jakarta Pusat,Hasan Karto,PT. Bintang Triniti Nusantara,021 633111,021 633111,Hotel Bintang,96/B
Tugu Asri,Jl. Jatibaru No. 7-9,,,Jakarta Pusat,Lina Asmahan Abdullah,PT. Hotel Tugu Asri,021 326292,021 3804300,Hotel Bintang,30/B1
V-2,"Komp. Duta Merlin, Jl. Gajah Mada No. 3-5 Lt. III",,,Jakarta Pusat,Anton Ham,PT. Agung Graha Jaya,,,Hotel Bintang,50/B
Whiz Hotel,Jl. Cikini Raya No. 6,,,Jakarta Pusat,Moedjianto Soesilo Tjahjono,PT. Estrella Lima Indonesia,021 3989555,021 39830448,Hotel Bintang,133/B
Amaris,Jl. Mampang Prapatan Raya No. 66,,,Jakarta Selatan,Yuli Pancawati,PT. Multi Tingkat Mandiri,021 7985535,021 7985532,Hotel Bintang,70/B2
Ambhara,Jl. Iskandarsyah II No. 1,,,Jakarta Selatan,Ahmad Dipoditiro,PT. Ambhara Tharuna,021 2700800,021 7200702,Hotel Bintang,222/B4
Arion Swiss-Belhotel Kemang,Jl. Kemang Raya No. 7,,,Jakarta Selatan,Febert Hotma Hutagalung,PT. Beringin Floratama Megah,021 7198000,021 7190088,Hotel Bintang,94/B
Aston Hotel,Jl. Garnisun Dalam No.8,,,Jakarta Selatan,,,021 2515151,021 5744168,Hotel Bintang,300/B5
Aston Priority Simatupang,Jl. TB. Simatupang Kav. 9,,,Jakarta Selatan,Kadafi Yahya,PT. Nusa Pratama Property,021 78838777,021 78839777,Hotel Bintang,250/B
Bumi Karsa,Jl. Jend. Gatot Subroto No. 71-73,,,Jakarta Selatan,Budi Sasongko,PT. Hotel Bumikarsa Bidakara,021 83793554,021 837935529,Hotel Bintang,174/B4
Business Hotel,Jl. Setiabudi Timur Blok B Persil No. 17,,,Jakarta Selatan,Arifin Siman,PT. Best Maju Makmur,021 2310312,021 3446883,Hotel Bintang,120/B
Cipta  II,Jl. Mampang Prapatan No. 1 A,,,Jakarta Selatan,Dra. Anny L Bernardus,PT. Kreasi Megah Cipta Sarana,021 798685,021 7989685,Hotel Bintang,70/B3
Cipta Hotel Pancoran,Jl. Raya Pasar Minggu No. 19,,,Jakarta Selatan,Dra. Anny L. Bernardus,PT. Multikreasi Ciptasarana,,,Hotel Bintang,109/B3
Crowne Plaza Jakarta,Jl. Jend. Gatot Subroto Kav. 2&3,,,Jakarta Selatan,H. RF. Gunawan Martakoesoemah,PT. Prabu Budi Mulia,021 5268833,021 5263832,Hotel Bintang,373/B5
D' Hotel,Jl. Sultan Agung No. 09,4,1,Jakarta Selatan,Darmawan,PT. Pesona Putra Manggala,,,Hotel Bintang,82/B
Delta Hotel,Jl. Gatot Subroto Kav. 76 ,1,1,Jakarta Selatan,Silverius Juniko,PT. Galaxi Candra Purnama,,,Hotel Bintang,96/B
Diradja Hotel,Jl. Kapten P. Tendean No. 38 ,3,5,Jakarta Selatan,Join Virgo Amir,PT. Puro Sembilan Sejahtera,021 79197405,021 79197405,Hotel Bintang,223/B
Fave Hotel,Jl. Kemang I No. 6 ,11,11,Jakarta Selatan,Drs. H. Dalyono Nimpuno,PT. Griya Upajiwana,,,Hotel Bintang,140/B1
Fave Hotel Gatot Subroto,"Komp. Tangkas Baru A Blok D/H, Jl. Kartika Chandra",,,Jakarta Selatan,Christilia Johanes Gunawan,PT. Metro City Grup,021 5762681,,Hotel Bintang,150/B
Fortune,"Plaza 3 Pondok Indah Blok F No. 1-4, Jl. TB. Simatupang",,,Jakarta Selatan,Yogi Idham Fauzi,PT. Fortune Pondok Indah,,,Hotel Bintang,31/B
Fortune,"Komp Graha Puri Blok F.21, Jl. Wijaya II ",,,Jakarta Selatan,Yogi Idham Fauzi,PT. Jakarta Entertainment,021 7208868,021 7208868,Hotel Bintang,50/B
Four Seasons Hotel Jakarta,Jl. HR. Rasuna Said Kav. B-4,,,Jakarta Selatan,Drs. T.Bachrumsjah Hamzah,PT. Permadani Khatulistiwa Nusantar,021 2523456,021 2524480,Hotel Bintang,320/B5
Golden Boutique Melawai,Jl. Melawai VIII No. 6-8,,,Jakarta Selatan,Rachmat Arifin,PT. Jade Global Development,021 7234555,021 7234555,Hotel Bintang,73/B3
Gran Mahakam,Jl. Mahakam I No. 6 ,1,7,Jakarta Selatan,Imam Wahyu,PT. Mahakam Ekagraha,021 7209966,021 7252011,Hotel Bintang,158/B5
Grand Ciledug,Jl. Ciledug Raya,4,3,Jakarta Selatan,Danue Tanpuyani,,,,Hotel Bintang,75/B
Grand Kemang Hotel,Jl. Kemang Raya No. 2H,14,1,Jakarta Selatan,"Rosan Perkasa MBA, MA",PT. Kemang Jaya Raya,021 7194121,021 7194131,Hotel Bintang,201/B3
Grand Melia Jakarta,Jl. HR. Rasuna Said Kav. X-O No. 1-4,,,Jakarta Selatan,Johannes Suriadjaja,PT. Suryalaya Anindita International,021 5268080,021 5268181,Hotel Bintang,404/B5
Grandhika Blok M,"Jl. Iskandarsyah Raya No. 65 A,B,C & 33 / I/8",,,Jakarta Selatan,Ir. Kiswodarmawan,PT. Adhi Karya (Persero) Tbk,021 7975312,021 7975311,Hotel Bintang,222/B4
Harris,Jl. DR. Sahardjo No. 191,,,Jakarta Selatan,Agoes Soelistyo Santoso,PT. Java Paradise Island,021 8305633,021 8305633,Hotel Bintang,172/B
Hotel 88 Fatmawati,Jl. RS. Fatmawati No. 03,,,Jakarta Selatan,FX Tommy Setiawan,PT. Fatmawati Sukses Cemerlang,,,Hotel Bintang,130/B
Hotel Amos Cozy,Jl. Melawai Raya No. 84-85,,,Jakarta Selatan,Dra. Khoe Ribka,PT. Indosemar Muliakarya,021 72801367,021 72801367,Hotel Bintang,99/B4
Hotel Aryaduta Semanggi,Jl. Garnisun dalam No. 8,,,Jakarta Selatan,Heri Krisdiyarto,PT. Sanggraha Nusa Raya,021 2515151,021 2514090,Hotel Bintang,300/B5
Hotel Garden,"Taman Kemang No. 1, Jl. Kemang Raya",,,Jakarta Selatan,A. Syarifudin,PT. Paranusa Sari,021 71791411,021 71790788,Hotel Bintang,50/B3
Hotel Griya Adamar,Jl. TB. Simatupang,11,4,Jakarta Selatan,Drs. H. Dalyono Nimpuno,PT. Griya Adamar,021 29529042,021 29529042,Hotel Bintang,198/B3
Ibis Kemang,Jl. Bangka Raya,2,7,Jakarta Selatan,Emelia Tasani,PT. Kemang Suar Artha,,,Hotel Bintang,81/B
JS Luwansa Hotel,"Gd. PP H. Usmar Ismail, Jl. HR. Rasuna Said",,,Jakarta Selatan,Jacob Soetoyo,PT. Gesit Sarana Perkasa,021 5277344,021 5277343,Hotel Bintang,245/B5
JW. Marriott Hotel,"Jl. DR. Ide Anak Agung Gde Agung Kav. E 1,2",,,Jakarta Selatan,Tan Kian,PT. Permata Birama Sakti,021 5798888,021 5798883,Hotel Bintang,333/B5
Kai' Sar,Jl. PLN. Duren Tiga No. 1,,,Jakarta Selatan,"Deolipa Yumara. SH, SPSI",PT. Doa Restu Sejahtera,021 79183601,021 79183602,Hotel Bintang,200/B
Kartika Chandra,Jl. Jend. Gatot Subroto Kav. 17-20,,,Jakarta Selatan,Miana Dwi Lasmini,PT. Kartika Chandra,021 5207829,021 5223523,Hotel Bintang,276/B4
Kebayoran INN,Jl. Senayan No. 87 Blok S,,,Jakarta Selatan,Sudjarwa,PT. Hotel Kebayoran,021 7246208,021 7398926,Hotel Bintang,102/B3
Kristal (Le-Cristal),Jl. Raya Tarogong Kav. 17,,,Jakarta Selatan,Nyotowijoyo,PT. Metropolitan Linggajaya,021 7507050,021 7507110,Hotel Bintang,328/B
Luminor Tendean 88,Jl. Kapten Tendean No. 10,,,Jakarta Selatan,Yohan Solihin Hartana,,,,Hotel Bintang,78/B
Maharadja,Jl. Kap. Pierre Tendean No. 1,5,1,Jakarta Selatan,Join Virgo Amir,PT. Purosati Ekatama,021 79180044,021 7995290,Hotel Bintang,200/B
Maharani,Jl. Warung Buncit Raya No. 8,,,Jakarta Selatan,Heti Suhartati,PT. Tuanku Laras Batipuh,021 79183855,021 79183855,Hotel Bintang,138/B
Manhattan Hotel,"Jl. Prof. DR. Satrio, Casablanca Kuningan",,,Jakarta Selatan,Maya Ramchand,PT. Merlynn Park Hotel,021 30040888,021 30040889,Hotel Bintang,255/B4
Melawai,Jl. Melawai Raya No. 18-20,,,Jakarta Selatan,Robby Koesnadi Alamsyah,PT. Melawai Hotel Tourism Corp,021 2700408,021 2700397,Hotel Bintang,180/B2
Melawai Delapan,Jl. Melawai VIII No. 6-8,,,Jakarta Selatan,Drg. Karta Wiguna Mustafa,PT. Maramakmur Dirgantara,021 7234555,,Hotel Bintang,100/B3
Mercure Hotel,Jl. RA. Kartini / Jl. TB. Simatupang,,,Jakarta Selatan,Abby Ernest,PT. Karya Propertindo Investama,021 75915262,021 75918270,Hotel Bintang,232/B4
Neo Melawai,Jl. Panglima Polim Raya No. 15,,,Jakarta Selatan,Listiawati Halim,PT. Isihombing,021 29661400,021 29661388,Hotel Bintang,88/B
Pop ! Hotel,Jl. Prof. DR. Soepomo SH No. 29,,,Jakarta Selatan,R.H Santosa,PT. Tri Kusuma Santosa,021 83794916,021 634876,Hotel Bintang,147/B
Pop! Hotel Kemang,Jl. Kemang Raya No. 3,,,Jakarta Selatan,Ryan Adrian,PT. Hotel Kemang Realty,021 5220568,021 5207931,Hotel Bintang,110/B1
Prapanca Indah,Jl. Prapanca Raya No. 30-31,,,Jakarta Selatan,Kardi Alamsah,PT. Hotel Prapanca Indah,021 7262603,021 7395030,Hotel Bintang,33/B1
Puri Denpasar,Jl. Denpasar Selatan No. 1,,,Jakarta Selatan,Gerry Djohan,PT. Mudha Graha Realty,021 5275542,021 5275543,Hotel Bintang,60/B
Raffles,Ciputra World 1 Jl. Prof. Dr. Satrio Kav. 3-5,,,Jakarta Selatan,Ir. Artadinata Djangkar,PT. Ciputra Adigraha,021 29888080,021 29888181,Hotel Bintang,173/B
Royal Kuningan Hotel,Jl. Kuningan Persada Kav. 2,,,Jakarta Selatan,"Jan Semesta, MBA",PT. Berlian Semesta Prima,,,Hotel Bintang,300/B
Sahati Hotel,Jl. Taman Margasatwa No. 45,,,Jakarta Selatan,Henry Al Azwar,PT. Hotel Sahati,021 78837907,021 78837905,Hotel Bintang,24/B
Sentra Cipulir,Jl. Ciledug Raya No. 17,,,Jakarta Selatan,Ir. Zainuri Yunus,CV. Sentra Cipulir,,,Hotel Bintang,50/B
Srikandi Hotel,Jl. Cipete Raya No. 13,,,Jakarta Selatan,Endah Kaniasari Ansoroeddin,PT. Griyanini Srikandi Putri,,,Hotel Bintang,70/B
Tebet Sofyan,"Jl. Prof. DR. Soepomo, SH No. 23",,,Jakarta Selatan,Bagus Moeshari,PT. Sofyan Hotels Tbk,021 8295691,021 8307495,Hotel Bintang,101/B2
The Dharmawangsa,Jl. Brawidjaya Raya No. 39,,,Jakarta Selatan,Indrarto Kartohadiprodjo,PT. Puri Dharmawangsa Raya Hotel,021 7258151,021 7258383,Hotel Bintang,100/B5
The Falatehan Hotel,Jl. Falatehan Raya No. 26,,,Jakarta Selatan,Saiful Arifin,PT. Arifindo Graha Pratama,021 7202021,021 7201212,Hotel Bintang,92/B
The Grove Suites By Grand Aston,"Komp. Rasuna Epicentrum, Jl. HR. Rasuna Said",,,Jakarta Selatan,Agustinus Wawan Dwi Guratno,PT. Bakrie Swasakti Utama,021 32154894,021 3215248,Hotel Bintang,151/B
The Mansion,"Kawasan Mega Kuningan, Jl. Mega Kuningan Timur",,,Jakarta Selatan,Amin Maulana,PT. Sendico Wiguna Lestari,021 53668360,021 53651895,Hotel Bintang,68/B3
The Park Lane Jakarta,Jl. Casablanca Kav. 18,,,Jakarta Selatan,Lim Irianto,PT. Staco Graha,021 8282000,021 8282222,Hotel Bintang,287/B5
The Ritz Carlton,Jl. DR. Ide Agung Gde Agung Kav. E No. 1,,,Jakarta Selatan,Tan Kian,PT. Mutiara Permata Mulia,021 25518888,021 25518889,Hotel Bintang,333/B5
The Ritz Carlton Pacific Place,Jl. Jend. Sudirman Kav. 52-53,,,Jakarta Selatan,Josef Aliwarga,PT. Pacific Place Jakarta,021 25501888,021 51400988,Hotel Bintang,63/B5
T-Hotel,Jl. Ciputat Raya No. 11,9,8,Jakarta Selatan,Teguh Susanto,PT. Teguh Prima,021 29500988,021 29500989,Hotel Bintang,100/B
Veranda,Jl. Kyai Maja No. 63,,,Jakarta Selatan,Ir. Hadi Kusuma Christanto,PT. Graha Pakubuwono Kusuma,,,Hotel Bintang,184/B
Wijaya Gangnam,"Komp. Wijaya Graha Puri Blok F No. 20, Jl. Wijaya",,,Jakarta Selatan,Vransiy Munita,PT. Ysj Maju Global,,,Hotel Bintang,31/B
Yusenny,Jl. Senayan No. 29,,,Jakarta Selatan,,,021 7206565,021 7208304,Hotel Bintang,25/B1
Alia Matraman,Jl. Matraman Raya No. 224,,,Jakarta Timur,,ALIA MATRAMAN,021 8507777,021 8502642,Hotel Bintang,109/B2
Angkasa,Jl. Sultan Hamengkubuwono IX KM. 25,,,Jakarta Timur,Trisno Soehardi,PT. Wisata Angkasa Permai,021 46825890,021 46826791,Hotel Bintang,35/B1
Balairung,Jl. Matraman Raya No. 19,2,1,Jakarta Timur,Irsyal Ismail,PT. Balairung Citrajaya Sumbar,021 85917217,021 85917216,Hotel Bintang,100/B
Best Western Premiere The Hive,Jl. DI. Panjaitan Kav. 3-4,,,Jakarta Timur,"Ir. Budi Saddewa Soediro, MM, IR",PT. Wika Realty,021 8192808,021 8590750,Hotel Bintang,191/B4
Fave Hotel PGC,Jl. Mayjen Sutoyo No. 76 / Jl. Dewi Sartika,,,Jakarta Timur,IR. Wahyu Dewanto,PT. Wahana Cipta Sentosa,021 80884545,021 80876600,Hotel Bintang,194/B
Grand Menteng Hotel,Jl. Matraman Raya No. 21,,,Jakarta Timur,Indra Teja Komaruddin,PT. Menteng Sarana Wisata,021 8509872,021 8583861,Hotel Bintang,100/B3
Hotel Ibis Pemuda,Jl. Pemuda,2,7,Jakarta Timur,Richard Aditya Nugraha,PT. Tasan Anugrah Nusa,,,Hotel Bintang,190/B
Ibis,Jl. Letjen. MT. Haryono No. 9,,,Jakarta Timur,Sebastian Harno Budi,PT. Superior Coach,021 8004968,021 8004969,Hotel Bintang,240/B
Ibis,"Cawang Commercial Estate, Jl. Letjend MT. Haryono",,,Jakarta Timur,Sebastianus Harno Budi,PT. Superior Coach,021 8004968,021 8004969,Hotel Bintang,240/B
Mega Matra,Jl. Matraman Raya No. 115,,,Jakarta Timur,Rachman Santoso,PT. Arthagemilang Pratama Selaras,021 8566355,021 8566337,Hotel Bintang,180/B2
Park Hotel,Jl. D.I Panjaitan Kav. 5-7,,,Jakarta Timur,Sinurlinda Gustina M,PT. Pembangunan Perumahan (Persero),021 29982000,021 29982005,Hotel Bintang,162/B
Rensa Sofyan,Jl. Raya Duren Sawit No. 108,,,Jakarta Timur,H. Husman Muhamad,CV. Rensa Raya,021 8602909,021 8615509,Hotel Bintang,30/B1
Santika Taman Mini Indonesia Indah,Jl. Pintu Masuk I TMII Indonesia Indah,,,Jakarta Timur,Benny Halim,PT. Grawita Indonesia Indah,021 29378500,021 29378600,Hotel Bintang,124/B3
Alexis Hotel,Jl. RE. Martadinata No. 1,,,Jakarta Utara,Djoko Sardjono,PT. Grand Ancol Hotel,021 69833333,021 6916011,Hotel Bintang,73/B3
All Sedayu Hotel,Kelapa Gading Square Mall Of Indonesia lobby 5,,,Jakarta Utara,Alexander Halim Kusuma,PT. Citra Kirana Abadi,021 29365000,021 29365001,Hotel Bintang,162/B
Coin's,Jl. Sunter Agung Utara Raya Blok A No. 5 B,,,Jakarta Utara,Carol Korompis,PT. Coins Hotel Indonesia,021 65836691,021 65836692,Hotel Bintang,80/B
Comfort,"Plaza Kelapa Gading Blok B No. 6-95, Jl. Raya Boulevard Kelapa Gading",,,Jakarta Utara,Yogi Idham Fauzi,PT. Jakarta Entertainment,021 45859140,021 45859140,Hotel Bintang,50/B
Condotel Golden Sky,Jl. Taman Pluit Kencana No. 48,,,Jakarta Utara,Fredie Tan,PT. Golden Sky Indonesia,021 6610610,021 6610610,Hotel Bintang,75/B
Danau Sunter,Jl. Danau Permai Raya Blok C.1,,,Jakarta Utara,Maya Ramchand,PT. Sunter Lakeside Hotel,021 6509969,021 6509970,Hotel Bintang,240/B4
Delta Duta Fortuna,Jl. Boulevard Bukit Gadnig Raya Blok D No. 30-34,,,Jakarta Utara,Laksana Muljadi Darmadjaja,PT. Delta Duta Fortuna,021 4517738,021 4517822,Hotel Bintang,30/B
Discovery Hotel & Convention Ancol,Jl. Lodan Timur Raya No. 07,,,Jakarta Utara,Jeffry Chandra,PT. Marina Ancol Green Hotel,021 6453456,021 6452986,Hotel Bintang,259/B
Golden Bay,Jl. Teluk Gong Raya No. 12,,,Jakarta Utara,Ka Tjin,PT. Duta Indah Hotel,021 66676168,021 66676190,Hotel Bintang,68/B2
Golden Hands Hotel,Jl. Bandengan Selatan No. 43,,,Jakarta Utara,Tri Saputro,PT. Danau Mas Tirta Mandiri,,,Hotel Bintang,40/B
Grand Asia,Jl. Bandengan Selatan No. 88,,,Jakarta Utara,Sumarno,PT. Megah Asia,021 66606969,021 66607007,Hotel Bintang,198/B3
Grand Whiz,Jl. Bukit Gading Raya Kav. I,,,Jakarta Utara,Intan Nurcahya,PT. Madya Lingkar Artha,021 7397028,021 7250503,Hotel Bintang,242/B4
Hariston,Jl. Terusan Bandengan Utara,,,Jakarta Utara,Kelvin Tjiandra,PT. Surya Mutiara Kencana Pratama,021 6344555,021 63857445,Hotel Bintang,199/B3
Harris Kelapa Gading,Jl. Raya Gading Indah,,,Jakarta Utara,Ote Johannes Mardjuki,PT. Summarecon Hotelindo,,,Hotel Bintang,319/B
Holiday INN Express Pluit,"Mall Emporium Lt. 10, Jl. Pluit Selatan Raya",,,Jakarta Utara,Willy Jono,PT. Sentra Graha Kencana,021 66676651,021 66676652,Hotel Bintang,301/B
Holiday INN Jakarta Kemayoran,Kompleks Rukan Puri Mutiara Blok D No. 107-10,,,Jakarta Utara,Albert Cahyadi Sukandadinata,PT. Nusaplaza International Hotel,021 29568800,021 29560088,Hotel Bintang,257/B
Hotel Fave,Jl. Gading Indah Raya No. 8 Blok C/32,,,Jakarta Utara,Irawan Ambiadi Suwandi,PT. Miagata Anugrah Abadi,,,Hotel Bintang,120/B2
Hotel King Cross,Jl. Boulevard Bukit Gading Raya Kokan Blok E,,,Jakarta Utara,Rudy Susanto,PT. Graha Kertajaya,021 4517353,021 4517353,Hotel Bintang,27/B
Hotel Neo,Rukan Mangga Dua Square Blok A No. 10-12,,,Jakarta Utara,Jacksen,PT. Inti Elok Persada,021 62312559,,Hotel Bintang,154/B
Ibis Style Hotel Mangga Dua Square,"Mangga Dua Square 2nd Floor P2, Jl. Gunung Sahari",,,Jakarta Utara,Ariesman Widjaja,PT. Kreasi Cipta Utama,,,Hotel Bintang,210/B
M. Star,Jl. Gunung Sahari Raya No. 2,,,Jakarta Utara,Rocky Sonfonda Matheus,Indik Koperasi TNI Angkatan Laut,021 64715263,021 64715322,Hotel Bintang,42/B
Mercure Convention Center Ancol,Jl. Pantai Indah Komp. TIJA,,,Jakarta Utara,"Andi Sofjan, SH",PT. Metropolitan Realty International,021 6406000,021 6406123,Hotel Bintang,444/B4
MTR 2,Jl. Boulevard Bukit Gading Raya No. 18,,,Jakarta Utara,Denny Herawan Susanto,,021 4533621,,Hotel Bintang,24/B
Novotel Mangga Dua Square,Jl. Gunung Sahari Raya No. 1,,,Jakarta Utara,Ariesman Widjaja,PT. Kreasi Cipta Utama,021 62312800,021 62312800,Hotel Bintang,362/B5
Podomoro,Jl. Agung Utara Blok A No. 5,,,Jakarta Utara,,,021 6402070,,Hotel Bintang,165/B
Pondok Putri Duyung,Jl. Lodan Timur No. 7,,,Jakarta Utara,Ir. Gatot Setyowaluyo,PT. Taman Impian Jaya Ancol,021 2601680,021 2601691,Hotel Bintang,130/B3
Pop ! Hotel Kelapa Gading,Jl. Kelapa Gading Boulevard / Jl. Raya Mandiri Utara,,,Jakarta Utara,Johanes Mardjuki,PT. Summarecon Hotelindo,,,Hotel Bintang,250/B1
Pulau Ayer,Pulau Air Besar,,,Jakarta Utara,Rudy Susanto,PT. Global Ekabuana,021 3518127,,Hotel Bintang,45/B4
Sanno Jakarta Airport Hotel,Jl. Pluit Raya Selatan No. 2,,,Jakarta Utara,Yulia Herlina,PT. Jadore Darmawangsa Raya,021 6606060,021 6604944,Hotel Bintang,94/B3
Santika Kelapa Gading,"Sport Mall, Jl. Raya Kelapa Nias Blok. HF 3 ",,,Jakarta Utara,Andy Widjanarko,PT. Sima Graha Utama,021 57853857,021 57853855,Hotel Bintang,151/B
Sumo,Jl. Boulevard Barat No. 1,,,Jakarta Utara,Rudy Susanto,PT. Graha Makmur Berjaya,,,Hotel Bintang,25/B
Tematik Hotel,Jl. Raya Jembatan Tiga No. 35,,,Jakarta Utara,Wedji Hartono P,PT. Tumbuh Sehat Makmur,021 66690366,021 66690566,Hotel Bintang,73/B2
Transit Gading Indah,Jl. Pegangsaan Dua No. 10,,,Jakarta Utara,,,021 4611989,021 4641993,Hotel Bintang,28/B
Whiz,"Ruko INKOPAL, Jl. Boulevard Barat B No. 18",,,Jakarta Utara,Rudy Susanto,PT. Dunia Entertainment,021 48858864,021 45858822,Hotel Bintang,150/B3
