nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas,
Bakara,Jakarta Pusat,Jl. Garuda No. 58  RT. 02/05,,,Windrati,PT. Garuda Mulia Permai,021 4268252,021 4268252,Bar,1960-10-01,
Baker's Inn,Jakarta Pusat,"Jl. MH. Thamrin Kav. 28-30,",,,Sonny Kurniawan,PT. Boga Makmur Selaras,021 7235544,,Bar,2015-01-10,
Bar Plaza Indonesia Xxi,Jakarta Pusat,Plaza Indonesia Xenter Jl. MH. Thamrin Kav. 28-,,,Harris Lasmana,PT.Sekar Sari Dana,021 39838779,021 39838779,Bar,2015-01-10,
Beer Garden,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 108,11,3,Mikael Mirdad,PT. Beer Garden Indonesia,,,Bar,2015-01-10,
Bistro Baron,Jakarta Pusat,Plaza Indonesia Jl. MH.Thamrin Kav. 28-30,,,Nadia Krasna Anna S,PT. Penny Roos,021 7207808,021 7248548,Bar,2015-01-10,
Black Cat,Jakarta Pusat,Plaza Senayan Jl. New Delhi No.9 Lt.2/X.208-20,,,Mohamad Prapanca,PT. Boga Cipta Antariksa,021 57901264,021 57901264,Bar,2015-01-10,
Bloeming,Jakarta Pusat,"FX Lifestyle Xnter Jl. Jend. Sudirman,  No. LG.A-",,,Ivan Haris Saptadji,PT. Surya Ceria Perdana,,,Bar,2015-01-10,
Blue Erawan,Jakarta Pusat,Jl. Cut Mutiah No.2,,,Joni Kantono,PT. Aneka Rasa Makmur,021 3150980,021 3141903,Bar,2015-04-16,
Blue Oasis Entertainment,Jakarta Pusat,Oasis Amir Hotel Jl. Senen Raya Kav. 135 - 137,,,R. Imba Kusumah,PT. Angku Suku Rangkayo Mulia,,,Bar,2015-01-10,
Brew & Co,Jakarta Pusat,Ratu Plaza Jl. Jend. Sudirman Kav. 9,,,Johannes M.P Siahaan,PT. Eka Agrapana Tjiptarasa,,,Bar,2015-01-10,
Brew House,Jakarta Pusat,Jl. Asia Afrika Lo. 19,,,Peggy Melati Purnamadewi,PT. Pundimas Maharasa Sejati,021 7694455,021 7502951,Bar,2015-01-10,
Brewerkz,Jakarta Pusat,Mal Senayan City LG Unit L-99 Jl. Asia Afrika Lot,,,Alvin Gozali,PT. Prima Perkasa Globalindo,021 31900281,021 31900282,Bar,2015-01-10,
Bugsy's,Jakarta Pusat,Plaza Senayan Lt. P4 U CP 401 A-B Jl. Asia Afri,,,Fransiscus Gozal,PT. Maha Sakti Persada,,,Bar,2015-01-10,
Bunga Rampai,Jakarta Pusat,Jl. Teuku Cik Ditiro No.35 RT 010/05,,,Linny Adisubrata,PT. Panca Sinar Kasih,021 33084636,021 33084636,Bar,2015-01-10,
Bushido Japanese Restaurant,Jakarta Pusat,Grand Sahid Jaya Hotel GF Jl. Jend. Sudirman N,,,Ir. Pudjiarso Hardjo Prakoso,PT. Riyanti International Management,021 25558982,,Bar,2015-01-10,
By The Beach,Jakarta Pusat,Jl. MH.Thamrin Kav. 28-30,,,Herman Iskandar,PT. Sumber Fajar Mulia,,,Bar,2015-05-25,
C E O,Jakarta Pusat,Jl. Jend. Sudirman No. 86,,,Rudiyadi,PT. Aspirasi Cipta Persada,,,Bar,2015-01-10,
Café Fashion Pasta,Jakarta Pusat,Jl. KH. Mas Mansyur,,,Candra Setiawan Lily,CV. Ciptarasa Jaya,,,Bar,2015-01-10,
Canteen,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Shri Jehan Djody Putri,PT.Casa Maha Rasa,021 3156537,021 3156537,Bar,2015-01-10,
Cassis,Jakarta Pusat,Apartemen Pavilion Jl. KH. Mas Mansyur Kav. 24,,,Ir. Hardyto Murni,PT. Cassis,021 57941500,021 57941510,Bar,2015-01-10,
Cava,Jakarta Pusat,Jl. Cikini Raya No.38,,,Asraf Iman Sjarfi,PT. Sumber Boga Drawina,021 2300581,,Bar,2015-01-10,
Celebrity Fitness,Jakarta Pusat,"Jl. MH. Thamrin Kav. 28-30,",,,Tyrone Kaskam Awan,PT. Exertainment Indonesia,021 3143999,,Bar,2015-01-10,
Cempaka Satu,Jakarta Pusat,Motel Cempaka Jl. Letjend. Soeprapto,,,"Drs. Idris Sasmita, MM",PT. Jakarta Tourisindo,021 4250126,021 4213051,Bar,2015-04-20,
Chandara,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Louis Larry,Louis Larry,,,Bar,2015-01-10,
Chandara,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8,,,Louis Larry,,021 5725342,021 5725342,Bar,2015-01-10,
Cheese & Caviar,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Jaya Sukamto,PT. Mitra Boga Nusantara,021 4678901,021 4867890,Bar,2015-01-10,
Cheese Cake Factory,Jakarta Pusat,Jl. Cikini Raya No. 16,,,De Silva U Chandra Sri Lal,PT. Desserta Faktori Gelato,,,Bar,2015-01-10,
Colours,Jakarta Pusat,"Jl. MH. Thamrin Kav. 3 ,",,,Ardianto A,,021 2302944,021 3909249,Bar,2015-01-10,
Comfort Nusantara,Jakarta Pusat,Jl. Mangga Besar Raya No. 181,,,Rudy Bongso,PT. Comfort Nusantara,,,Bar,2015-01-10,
Cork & Screw,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28-30,,,Hernando Basuki,PT. Mitra Indoboga Jaya,021 3107644,021 3107644,Bar,2015-01-10,
Crystal Jade Restaurant,Jakarta Pusat,Jl. New Delhi No. 9,,,Shannon Masrin,PT. Crystal Jade Restaurant,,,Bar,2015-01-10,
Crystal Lounge,Jakarta Pusat,Hotel Grand Mercure Jl. Hayam Wuruk No. 36/37,,,"Baharja Halim, MBA",PT. Halim Bangun Sarana Indah,021 3452977,021 3860877,Bar,2015-01-10,
D' Asti Lounge,Jakarta Pusat,Jl. Asia Afrika Blok. 18-19,,,Johan Manese Wattimena,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D' Consulat,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 49 - 51,,,H. Irwan Mile,PT. Miski Global Mandiri,,,Bar,2015-01-10,
D' Rox,Jakarta Pusat,Jl.KH. Hasyim Ashari 125 Blok D1,,,Tomo Sianto,PT. Sianyu Perkasa Mandiri,,,Bar,2015-03-10,
Dapur Babah Elite & Tao Bar,Jakarta Pusat,Jl. Veteran I No. 19,,,Lucienne Kristi Anhar,Lucienne Kristi Anhar,021 3855653,021 3853040,Bar,2015-05-20,
De Luca,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8 CP.101A,,,Haryadi Ridwan,PT. Gastronomica Indonesia,021 53690915,021 53690915,Bar,2015-01-10,
De Luca,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8 CP. 101A,,,Haryadi Ridwan,PT. Gastronomica Indonesia,021 53690915,021 53690915,Bar,2015-01-10,
Desi Dapur,Jakarta Pusat,Sarinah Mall Blok 6-7 Lt. Basement Jl. MH. Tham,,,Firdos Tehmul Dupattawala,PT. Paradise Entertainment,021 4701928,021 47867034,Bar,1940-10-01,
Din Tai Fung,Jakarta Pusat,Plaza Senayan Jl. New Delhi No. 9,,,Dendy Sjahada H,PT. Dhanajaya Bogaindo,021 57900163,,Bar,2015-01-10,
Din Tai Fung,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Dendy Sjahada H,PT. Dhanajaya Bogaindo,,,Bar,2015-01-10,
Diva,Jakarta Pusat,Gd. Melawai Jl. Salemba Raya No. 57-59,,,Tjhin Dianawi,PT. Swara Indah Lestari,,,Bar,2015-01-10,
Diva,Jakarta Pusat,Thamrin City Lt. Dasar 1 Blok BT Jl. Kebon Kaca,,,Adri Sumual,PT. Kian Jaya Perkasa,021 31997456,021 31997455,Bar,2015-01-10,
Diva,Jakarta Pusat,Jl. Mangga Besar Raya No. 96,,,Tjhin Dianawi,PT. Diva Lestari,,,Bar,2015-01-10,
Diva,Jakarta Pusat,Jl. Mangga Besar Raya No. 96,,,Tjhin Dianawi,PT. Diva Lestari,,,Bar,2015-01-10,
Domain,Jakarta Pusat,Senayan City Mal Jl.Asia Afrika Lot.19,,,Bona Budhisurya,PT. Mitra Karya Manajemen,021 72781641,021 72781642,Bar,2015-01-10,
Domus Demos Resto,Jakarta Pusat,Jl. Veteran I No. 30,,,Fitri Efendi,PT. Domus Demos,021 3447288,021 3447289,Bar,2015-01-10,
Domus Demos Resto,Jakarta Pusat,Jl. Veteran I No. 30,,,Fitri Efendi,PT. Domus Demos,021 3447288,021 3447289,Bar,2015-01-10,
Double Bay,Jakarta Pusat,F1 Plaza Menteng Jl. HOS Cokroaminoto No. 79,,,William Gomez,PT. Anugrah Sukses Pratama,,,Bar,2015-01-10,
Dream,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Vincent Surya S,PT. Mimpi Gaya Hidup,,,Bar,2015-01-10,
Dyna,Jakarta Pusat,Jl. Kh. Wahid Hasyim No. 116,,,Paula Lasut,PT. Hapeka Jasindo,021 31906484,,Bar,1940-07-01,
Eatology,Jakarta Pusat,Jl. Haji Agus Salim No. 22 D-E,,,Donny Prasetya,PT. Eat Awesome Tastendonesia,,,Bar,2015-01-10,
Eksotik,Jakarta Pusat,Jl. P. Jayakarta Dalam No. 72 A,,,Bambang Soerjadi Ali,PT. Exotic Paradise,021 6245406,021 6245406,Bar,2015-01-10,
Emporium,Jakarta Pusat,Jl. Pecenongan No. 29 RT. 08/03,,,Dedy Sutandy,PT. Kandaga Asrigraha,021 3521144,021 3521155,Bar,2015-01-10,
Enmaru,Jakarta Pusat,The Plaza Lantai 46 Jl. MH. Thamrin Kav. 28-30,,,Henky Rusli,PT. Intercontinental Culinary,,,Bar,2015-01-10,
Ephicure,Jakarta Pusat,Jl.Jend.Sudirman Pintu I Senayan,,,Rudy Widjaja,PT. Duta Pratama Usaha,021 8351608,021 8351608,Bar,2015-01-10,
Ephicure,Jakarta Pusat,Jl.Jend.Sudirman Pintu I Senayan,,,Rudy Widjaja,PT. Duta Pratama Usaha,021 8351608,021 8351608,Bar,2015-01-10,
Eric Kayser,Jakarta Pusat,Plaza Senayan Jl. New Delhi No. 9,,,Sigit Nugroho,PT. Kayserindo Kuliner Jakarta,,,Bar,2015-01-10,
F - 1,Jakarta Pusat,Jl. Batu Tulis Raya No. 21 A,2,2,Johan Ika,PT. Gemar Riang Gembira,,,Bar,2015-01-10,
F - 1,Jakarta Pusat,Jl. Batu Ceper Raya No. 59,,,Sohar Effendi,PT. Penta Jaya Mandiri,021 3841252,021 3841252,Bar,2015-01-12,
Fashion,Jakarta Pusat,Jl. Gunung Sahari XII,18,3,Wedji Hartono P,PT.Tumbuh Sehat Makmur,,,Bar,2015-01-10,
Flanagan's Irish Pub & Restaurant,Jakarta Pusat,Jl.MH.Thamrin,,,Indra Sjahbirin,PT.Balindo Jasa Mandiri,021 315474,,Bar,2015-01-10,
Foodism,Jakarta Pusat,Sudirman Place Jl. Jend. Sudirman Lantai 3A,,,Ny. Ratna Marina I.V. Joesoef,PT. Foodism Arta,,,Bar,2015-01-10,
Foodism,Jakarta Pusat,Senayan City Mal Jl. Asia Afrika,1,6,Ratna Marina I.V.Joesoef,PT. Foodism Arta,021 72781434,021 72781434,Bar,2015-01-10,
Fook Yew,Jakarta Pusat,Grand Indonesia West Mall Level 3A Floor Unit E,,,Christian Rijanto,PT. Sinaran Sejahtera,021 29303877,021 29303877,Bar,2015-01-10,
Foood Kulture By Urban Kitchen,Jakarta Pusat,Jl. MH. Thamrin Kav. 28 - 30,,,Alexander Halim Kusuma,PT. Perdana Mulia Abadi,021 72781555,021 72781572,Bar,2015-01-10,
Fortune,Jakarta Pusat,Jl. KH. Mas Mansyur 13,1,2,Yogi Idham Fauzi,PT. Comfrort Nusantara,021 56960598,021 56975513,Bar,2015-01-10,
Front Page,Jakarta Pusat,Plaza Gani Djemat Jl. Imam Bonjol No. 76-78,,,Deepak Gordhan Samtani,PT. Fajar Prima Boga,021 3903613,22      ,Bar,2015-01-10,
Gaia Ristorante,Jakarta Pusat,The Plaza Lantai 46 Jl. MH. Thamrin Kav. 28-30,,,Henky Rusli,PT. Intercontinental Culinary,,,Bar,2015-01-10,
Ganesha Ek Sanskriti,Jakarta Pusat,"BRI II Centre Park Jl. Jend. Sudirman No. 28,",,,Jai Prakash Dave,PT. Ganesha Sanskritik Indonesia,021 5719415,021 5719957,Bar,2015-01-10,
Garcon,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8,,,Christoph Darjanto,PT. Kuliner Mitra Maju,021 53690916,021 53670708,Bar,2015-01-10,
Goemon,Jakarta Pusat,Wisma Kyoei Prince Jl.Jend.Sudirman Kav.3,,,Elin Winarti,PT.Primaniaga Buana Semesta,021 5723343,,Bar,2015-01-10,
Grand Manhattan,Jakarta Pusat,Hotel Borobudur Jl. Lapangan Banteng Selatan N,,,"Yusuf Indradewa, SH",PT. Mulia Sejahtera Abadi,,,Bar,2015-01-10,
Gulp & Gulf,Jakarta Pusat,Jl. KH. Agus Salim No. 57,,,"Yan Apul Hasiholan, SH",PT. Hoki Abadi,021 36718933,,Bar,2015-01-10,
H S,Jakarta Pusat,Jl. Mangga Besar Raya No. 177,,,Dedy Kurniawan,PT. Hutama Sehat Makmur,021 6280638,021 6280638,Bar,2015-01-10,
Hacienda Mexican Bar & Grill,Jakarta Pusat,Plaza Senayan Arcadia Jl. New Delhi No. 9,,,Hari Setiawan,PT. Bahana Buana Makmur,,,Bar,2015-01-10,
Happy Happy Karaoke,Jakarta Pusat,Jl.Hayam Wuruk No.1,7,2,Drs. H.A.Halim Kadir,PT.Era Prakarsa Harmoni,021 3511828,,Bar,16/70,
Happy Puppy,Jakarta Pusat,"Ruko Grand Kartini No. 16-17, Jl. Kartini Raya N",,,Jance Irawan,PT. Imperium Jaya Sentosa,021 6292096,021 6292096,Bar,2015-01-10,
Hard Rock Café,Jakarta Pusat,Jl. MH. Thamrin Kav. 28-30,,,Handi Jatna,PT. Hamparan  Rahayu  Citra,021 39190164,021 31990170,Bar,2015-01-10,
Hermitage Lounge,Jakarta Pusat,Jl. Cilacap No. 1 RT. 011/005,11,5,Christofer Wibisono,PT. Menteng Heritage Realty,,,Bar,2015-01-10,
Hey Ho,Jakarta Pusat,Grand Indonesia Mall Inut WM Lt.5 Unit No.WM-,,,Bona Budhisurya,PT. Mitra Sukses Seksama,,,Bar,2015-01-10,
Hyu Han,Jakarta Pusat,STC Senayan Jl. Asia Afrika,,,Ju Chang Kyu,PT. HYU HAN,021 57931700,021 57931700,Bar,2015-01-10,
Ichigo Ichie,Jakarta Pusat,Wisma Kyoei Prince Jl. Jend. Sudirman Kav. 3-4,,,Desmawarudi,PT. Boga Inti Persada,021 5731993,021 5731993,Bar,2015-01-10,
Iguana Dangdut & Karaoke,Jakarta Pusat,Hotel Menteng I Jl. R.P. Soeroso No. 28,,,Indra Teja Kamarudin,PT. Menteng Sarana Wisata,,,Bar,2015-01-10,
Immigrant,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Haryadi Ridwan,PT.Baresto Mitra Maju,021 39838258,021 39838257,Bar,2015-01-10,
Imperial,Jakarta Pusat,Pusat Niaga Roxy Jl. KH. Hasyim Ashari No. 1 Bl,,,Herli,PT. Imperial Inti Makmur,,,Bar,2015-01-10,
Inul Vizta,Jakarta Pusat,FX Lifestyle X'nter Jl. Jend. Sudirman Pintu I Sen,,,"Andrey Setiawan, ST",PT. Yakin Sukses Sejahtera,021 25554200,021 25554200,Bar,2015-01-10,
J - Wine,Jakarta Pusat,FX Lifestyle Xnter Jl. Jend. Sudirman Pintu I,,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-01-10,
J House,Jakarta Pusat,Jl. KH. Mas Mansyur Kav. 24,,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,021 5735222,021 5735222,Bar,2015-01-15,
Jakarta Wine,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot. 19,,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,021 5732465,,Bar,2015-01-10,
Jill In Marketbar,Jakarta Pusat,Grand Indonesia Shopping Town Unit West Mall,,,Wawan Setiawan Salum,PT. Salum Foodz,021 7225828,021 7225828,Bar,2015-01-10,
Jj Royal Bistro,Jakarta Pusat,Mall Senayan City LG Unit L-06 B1 Jl. Asia Afrika,,,Joel Tantyo laksono Untung,PT. Legenda Kuliner,021 98564335,021 98564335,Bar,2015-05-20,
J-Wine,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28-30,,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-05-30,
J-Wine,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8,,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-05-30,
J-Wine,Jakarta Pusat,The Foodhall Grand Indonesia Jl.MH.Thamrin Ka,,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-05-30,
Kafe Domus,Jakarta Pusat,Jl. Veteran I No. 30-32,,,Suresh G. Vaswani,PT. Domus Multi Pesona,021 3447288,021 3844844,Bar,2015-01-10,
Kafe Victoria,Jakarta Pusat,"Jl. Asia Afrika No. 8,",,,Nyla C. Sutirman,PT. Gemafood Masprima,,,Bar,2015-01-10,
Kaihomaru,Jakarta Pusat,City Walk Sudirman Unit FF#11 Jl. KH. Mas Man,,,Pinnywati Chandra,PT. Sanwa Indonesia,,,Bar,2015-01-10,
Kamogawa,Jakarta Pusat,Jl. KH.Mas Mansyur No.24,,,Tsai Yu O,PT.Prima Massa,021 5741988,021 3148585,Bar,2015-01-10,
Katsura,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8,,,Andrew Himawan,PT. Himber Indonesia,,,Bar,2015-01-10,
Kitchenette,Jakarta Pusat,Senayan City Jl. Asia Afrika Lot. 19,,,Brian Ivan Sutanto,PT. Kitchenette Lestari,,,Bar,2015-01-10,
Kitchenette,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Brian Ivan Sutatnto,PT. Kitchenette Lestari,,,Bar,2015-01-10,
Kushi Musubi,Jakarta Pusat,Gd. Citywalk sudirman Lt. 1 Unit 10 Jl. KH. Mas,,,Nakamura Ryuji,PT. Musubi Sachi Indonesia,021 25558672,021 25558673,Bar,2015-01-20,
La Finestra Ristorante,Jakarta Pusat,Jl. Tanjung Karang No. 5,,,H. MA. Baheramsyah Djayanegara SH,PT. Meranti Magsaysay,021 3908812,021 3100289,Bar,2015-01-10,
Laluna Bar,Jakarta Pusat,Jl. Batu Ceper No. 20,,,Loeis Tedja,PT. Laluna Prima,021 3519448,021 3446636,Bar,2015-01-10,
Lan Na Thai,Jakarta Pusat,Jl. Dr.Kusuma Atmaja No.85,,,Haidhi Angkawijana,PT. Triresto Muliatama,,,Bar,2015-01-10,
Lara Djonggrang,Jakarta Pusat,Jl. Teuku Cik Ditiro No. 4,,,Melati Tanjungsari,,021 3153252,021 3160488,Bar,2015-01-10,
Lintang Selatan (Ls),Jakarta Pusat,Jl. Blora No. 19,,,Agustinus Affendie Sastra,CV. Mina Kenvana,021 3143961,021 3143962,Bar,2015-01-10,
Little Sheep,Jakarta Pusat,BRI II Center Park Jl. Jend. Sudirman Kav.42-43,,,Srie Martina,PT. Prima Selera,,,Bar,2015-01-17,
Locanda,Jakarta Pusat,Gd. Bank Panin Pasar Lt. Ground Jl. Jend. Sudir,,,Tonie Hartono Kadi,PT. Trimitra Boga Mandiri,,,Bar,2015-01-10,
Long Beach Seafood,Jakarta Pusat,Jl. Asia Afrika  Lt.-07B,,,Milany Terianto,PT. Elbe Seafood Indonesia,021 7237979,021 7233399,Bar,2015-01-10,
Malioboro,Jakarta Pusat,"Jl. Gajah Mada No.12-CC, D,E",,,Rudy Susanto,PT. Global Arta Berjaya,,,Bar,2015-01-10,
Mamacita,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot. 9,,,Tonie Hartono Kadi,PT. Cavallino Mitra Jaya,021 57936171,021 57936173,Bar,2015-01-10,
Marimba QQ,Jakarta Pusat,Jl. Pramuka Raya Kav.  63-64 Hotel Sentra,,,R. Imba Kusumah,PT. Prajasarana Ciptamulia,021 4225511,021 4213839,Bar,2015-01-10,
Marimba QQ,Jakarta Pusat,Jl. Pramuka Raya Kav.  63-64,,,R. Imba Kusumah,,021 4225511,021 4213839,Bar,2015-01-10,
Mario's Place,Jakarta Pusat,Jl. Cikini Raya No. 2 - 4,,,Arifin Adam,PT. Mitratama Panganjaya,021 3144354,,Bar,2015-01-10,
Master Piece,Jakarta Pusat,Gd. Sarinah Jl. MH. Thamrin No. 11,,,Indra Mochammad Putra,CV. Investama Masterpiece Sarinah,,,Bar,2015-01-10,
May Star,Jakarta Pusat,Hotel Le Grendeur Jl. Mangga Dua Raya,1,,Halim Juhanim,PT. Selera Sejahtera,021 6127883,021 6127887,Bar,2015-01-10,
Melly's,Jakarta Pusat,Jl. Kebon Sirih Timur Dalam No. 37-39,,,Melly Saripah,CV. Mellys Garden & Resto,021 3921333,021 3921333,Bar,2015-01-10,
Melt,Jakarta Pusat,BRI II Center Park Jl. Jend. Sudirman Kav. 42-43,,,Silvester Winarto,PT. Surya Mitra Lestari,021 2512733,021 2512732,Bar,2015-01-05,
Millennium,Jakarta Pusat,Plaza Gajah Mada Jl. Gajah Mada No. 19-26,,,Lilis Harjati Karli,PT. Upaya Paraputra Utama,021 63857552,021 6343965,Bar,2015-01-10,
Mini Brewery (Brewhouse),Jakarta Pusat,Jl. MH. Thamrin,,,F. Koentjoro Noerwibowo,PT. Grand Indonesia,,,Bar,2015-01-10,
Molly Malone's,Jakarta Pusat,Plaza Arcadia Jl. New Delhi No. 9,,,Irene Hanim,PT. Indoerin,,,Bar,2015-01-10,
Movina,Jakarta Pusat,Plaza Indonesia Jl. MH.Thamrin Kav. 28 - 30,,,Vincent Surya Sianandar,PT. Svarna Movina,,,Bar,2015-01-10,
Musro,Jakarta Pusat,Jl. Lap. Banteng Selatan No. 1,,,Rahmat Adi Sutinno Halim,PT. Musik Roomindo Sejati,,,Bar,2015-01-10,
Nan Xiang Steamed Bun-Shanghai,Jakarta Pusat,The Sultan Hotel Jl. Jend. Gatot Subroto,,,Harsono Tjandra,PT. Royal Cuisine Indonesia,021 5727257,021 4515846,Bar,2015-01-10,
Nannini,Jakarta Pusat,Jl. Asia Afrika No. 8,,,Caroline Ruth Sumendap,PT. Marmitria Sukses,021 5725411,021 5725412,Bar,2015-01-10,
Nara Han,Jakarta Pusat,Jl.Jend.Gatot Subroto Kav.71-73,,,Juninetenth K. Freenson S,PT. Nara Han,021 47861358,021 47861358,Bar,2015-01-10,
Nav,Jakarta Pusat,Jl. Batu Tulis No. 14,,,Jakub Setjoatmadja,PT. Nada Suara Abadi,021 5033567,021 5034829,Bar,2015-01-10,
Ninety Nine,Jakarta Pusat,East Mal Grand Indonesia Jl. MH. Thamrin No.1,,,Nugroho Setiadharma,PT. Supra Boga Lestari,,,Bar,2015-01-10,
Nirwana,Jakarta Pusat,Jl. Juana No.36,,,Agustinus Affendie Sastra,CV. Mina Kencana,021 333253,021 333253,Bar,2015-01-10,
Nutz Culture,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot. 19,,,Indra Pramono Ekoputra,PT. Tritunggal Premium Entertainment,,,Bar,2015-01-10,
Ocha & Bella,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 70,,,Vincent Surya S,PT. Svarna Kreasindo,,,Bar,2015-01-10,
Orchardz,Jakarta Pusat,Jl. Industri Raya No. 8,,,Sugiarto Hardjo,PT. Kapuas Cemerlang Maju,021 62317788,021 62317788,Bar,2015-01-10,
Orchardz,Jakarta Pusat,Jl. P. Jayakarta Blok 44/7-8,,,Juanda,PT. Gaya Wahana Inti,021 6287888,021 6287888,Bar,2015-01-10,
Outback Steakhouse,Jakarta Pusat,Ratu Plaza Jl. Jend. Sudirman No. 9,,,Prasoon Mukherjee,PT. OBS Citra Indonesia,021 7252188,021 7257166,Bar,2015-01-10,
Oyster,Jakarta Pusat,Jl. Asia Afrika No. 8,,,"Frederik Rosandi, SE",PT. Rumah Tiram,021 5725338,021 5725338,Bar,2015-01-10,
Paradise Dynasti,Jakarta Pusat,Jl. Asia Afrika No. 8,,,Kusnadi Rahardja,PT. Boga Makmur Dinasti,,,Bar,2015-01-10,
Paradise Dynasti,Jakarta Pusat,Plaza Senayan Lt.5 Jl. Asia Afrika No. 8,,,Kusnadi Rahardja,PT. Boga Makmur Dinasti,,,Bar,2015-01-10,
Paradise INN,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28-30,,,Kusnadi Rahardja,PT. Boga Makmur Intipangan,021 7235408,021 7235141,Bar,2015-01-10,
Pd. Bahagia,Jakarta Pusat,Jl. H. Agus Salim No. 26E Rt. 002/01,,,Shinta Sutanti,PD. BAHAGIA,021 38774830,021 38774830,Bar,2015-01-10,
Penang Bistro,Jakarta Pusat,Jl. Kebon Sirih No. 59,,,Michael Sofian Utomo,PT. Arena Gourmet,021 31906000,,Bar,2015-01-10,
Pesto Autentico,Jakarta Pusat,ANZ Square Podium Lt. Upper Ground Jl. MH. T,,,Alvin Gozali,PT. Sahabat Prima Inti Niaga,021 29937230,,Bar,2015-02-20,
Phloey,Jakarta Pusat,"Jl. Jend. Sudirman Kav. 11,",,,Eric Jethrokusumo,PT. Aneka Citra Laut,021 7394018,021 7261570,Bar,2015-01-10,
Pisa Ice Cream,Jakarta Pusat,Jl. Gereja Theresia No. 1,,,Yerry Eka Nugraha,PT. Boga Rahardjo Utama,021 3100151,021 3152729,Bar,2015-01-10,
Pizza E Birra,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28- 30,,,Christian Rijanto,PT. Kharisma Birra Sejahtera,,,Bar,2015-01-10,
Pizza E Birra,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Christian Rijanto,PT. Kharisma Birra Sejahtera,021 3107272,021 3107644,Bar,2015-01-10,
Plum Village,Jakarta Pusat,Jl. K.H.Hasyim Ashari,,,Budy Santosa,PT. Sukses Pesona Jaya,,,Bar,2015-01-10,
Polo Club Jakarta,Jakarta Pusat,Jl.KH.Mas Mansyur Kav.124,,,Ninik Triwahyuni,PT. Graha Buana Cikarang,021 5723767,,Bar,2015-01-10,
Portico,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot.19,,,Bona Budhi Surya,PT. Mitra Karya Manajemen,,,Bar,2015-01-10,
Portico,Jakarta Pusat,Senayan City Jl. Asia Afrika Lot. 19,,,Bona Budhi Surya,PT. Mitra Karya Manajemen,,,Bar,2015-01-10,
Prive,Jakarta Pusat,FX Lifestyle X'nter Jl. Jend. Sudirman Pintu I Sen,,,Lili Abadi,PT. Prima Vektor,021 25558758,021 25558758,Bar,2015-01-10,
Puri Café,Jakarta Pusat,Jl. Rawamangun No. 59 A,,,Bambang Siswanto,PT. Sentral Cipta Propertindo,,,Bar,2015-01-10,
Puspita,Jakarta Pusat,Jl. Juana No. 34,,,Affendie Sastra,CV. Mina Kencana,021 3918405,021 3918405,Bar,2015-01-10,
Q Bar,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot. 19,,,Alvin Gozali,PT. Sahabat Prima Inti Niaga,,,Bar,2015-01-10,
Queen's Tandoor,Jakarta Pusat,Plaza Permata Jl. MH. Thamrin No. 57 Basement,,,Ramesh Kundanmal Shamdasani,CV. Ratu,,,Bar,2015-01-10,
